Set,Cards Against Humanity: First Expansion,Special,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
,"Released November 7, 2011. Discontinued as of November 21, 2016 as a separate expansion. Still available for purchase while supplies last. This expansion has been incorporated into the Red Box Expansion. Icon: The number ""1"". ",,,,,,,,
,,,,,,,,,
Prompt,An international tribunal has found ______ guilty of ______.,PICK 2,v1.0,v1.1,v1.2,v1.3,v1.4,,
Prompt,"And I would have gotten away with it, too, if it hadn't been for ______!",,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Prompt,"Awww, sick! I just saw this skater do a 720 kickflip into ______!",,,,,,,,v1.6
Prompt,"Dear Sir or Madam, We regret to inform you that the Office of ______ has denied your request for ______.",PICK 2,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Prompt,"Doctor, you've gone too far! The human body wasn't meant to withstand that amount of ______!",,,,,,,,v1.6
Prompt,Future historians will agree that ______ marked the beginning of America's decline.,,,,,,,,v1.6
Prompt,He who controls ______ controls the world.,,v1.0,,v1.2,,v1.4,,
Prompt,I learned the hard way that you can't cheer up a grieving friend with ______.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Prompt,"In a pinch, ______ can be a suitable substitute for ______.",PICK 2,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Prompt,"In his new self-produced album, Kanye West raps over the sounds of ______.",,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Prompt,"In its new tourism campaign, Detroit proudly proclaims that it has finally eliminated ______.",,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Prompt,"In Rome, there are whisperings that the Vatican has a secret room devoted to ______.",,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Prompt,"In the distant future, historians will agree that ______ marked the beginning of America's decline.",,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,
Prompt,Michael Bay's new three-hour action epic pits ______ against ______.,PICK 2,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Prompt,My plan for world domination begins with ______.,,v1.0,v1.1,,v1.3,,v1.5,v1.6
Prompt,"Next season on Man vs, Wild, Bear Grylls must survive the depths of the Amazon with only ______ and his wits.",,v1.0,v1.1,,v1.3,,v1.5,
Prompt,"Next week on Discovery Channel, one man must survive in the depths of the Amazon with only _____ and his wits.",,,,,,,,v1.6
Prompt,Science will never explain ______.,,,,v1.2,v1.3,v1.4,v1.5,v1.6
Prompt,Science will never explain the origin of ______.,,v1.0,v1.1,,,,,
Prompt,The CIA now interrogates enemy agents by repeatedly subjecting them to ______.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Prompt,"The secret to a lasting marriage is communication, communication, and ______.",,,,,,,v1.5,v1.6
Prompt,The socialist governments of Scandinavia have declared that access to ______ is a basic human right.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,
Prompt,"This season on Man vs. Wild, Bear Grylls must survive in the depths of the Amazon with only ______ and his wits.",,v1.0,,v1.2,,v1.4,,
Prompt,What brought the orgy to a grinding halt?,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Prompt,What has been making life difficult at the nudist colony?,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Prompt,What's the gift that keeps on giving?,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,
Prompt,"When all else fails, I can always masturbate to ______.",,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Prompt,"When I pooped, what came out of my butt?",,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
,,,,,,,,,
Response,24-hour media coverage.,,v1.0,v1.1,,v1.3,,v1.5,v1.6
Response,A beached whale.,,v1.0,v1.1,v1.2,v1.3,,,
Response,A big black dick.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,A bloody pacifier.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,A crappy little hand.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,A fat bald man from the internet.,,,,,,v1.4,v1.5,v1.6
Response,A Japanese tourist who wants something very badly but cannot communicate it.,,,,,,,,v1.6
Response,A low standard of living.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,A nuanced critique.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,A panty raid.,,v1.0,v1.1,v1.2,,v1.4,,
Response,A passionate Latino lover.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,A plunger to the face.,,,,v1.2,v1.3,v1.4,v1.5,v1.6
Response,A rival dojo.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,
Response,"A smiling black man, a latina businesswoman, a cool Asian, and some whites.",,,,,v1.3,v1.4,v1.5,v1.6
Response,A web of lies.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,A woman scorned.,,v1.0,v1.1,v1.2,,,,
Response,An atomic wedgie.,,v1.0,v1.1,v1.2,,v1.4,,
Response,An Etsy steampunk strap-on.,,,,,,,v1.5,v1.6
Response,An evil man in evil clothes.,,,,,,,v1.5,v1.6
Response,"André the Giant's enormous, leathery scrotum.",,,,,,,v1.5,v1.6
Response,Apologizing.,,v1.0,v1.1,v1.2,v1.3,v1.4,,
Response,Appreciative snapping.,,v1.0,v1.1,,,,,
Response,Ashton Kutcher.,,v1.0,v1.1,v1.2,,v1.4,,
Response,Beating your wives.,,v1.0,v1.1,v1.2,v1.3,v1.4,,
Response,Being a busy adult with many important things to do.,,v1.0,v1.1,,v1.3,v1.4,v1.5,v1.6
Response,Being a dinosaur.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,"Big Bird's brown, crusty asshole.",,,,,,,,v1.6
Response,Blaxploitation.,,v1.0,v1.1,v1.2,,v1.4,,
Response,Bosnian chicken farmers.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Breaking nip slip news.,,v1.0,v1.1,v1.2,,v1.4,,
Response,Carnies.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,
Response,Clams.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Clenched butt cheeks.,,v1.0,,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Converting to Islam.,,,,,,,,v1.6
Response,Coughing into a vagina.,,v1.0,v1.1,v1.2,v1.3,v1.4,,
Response,Cutting.,,v1.0,v1.1,v1.2,,v1.4,,
Response,Dancing with a broom.,,v1.0,v1.1,,,,,
Response,Deflowering a princess.,,v1.0,v1.1,v1.2,,,,
Response,Deflowering the princess.,,,,,v1.3,v1.4,v1.5,v1.6
Response,Dorito breath.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Eating an albino.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Enormous Scandinavian women.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Fabricating statistics.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Finding a skeleton.,,v1.0,v1.1,v1.2,,,,
Response,Gandalf.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Genetically engineered super-soldiers.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,George Clooney's musk.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Getting abducted by Peter Pan.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,"Getting in her pants, politely.",,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,
Response,Gladiatorial combat.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Good grammar.,,v1.0,v1.1,,,,,
Response,Having a penis.,,,,,v1.3,v1.4,v1.5,v1.6
Response,Hipsters.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Historical revisionism.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Insatiable bloodlust.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Jafar.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Jean-Claude Van Damme in slow motion.,,,,,v1.3,v1.4,v1.5,
Response,Jean-Claude Van Damme.,,v1.0,v1.1,v1.2,,,,
Response,Just the tip.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Leveling up.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Literally eating shit.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Mad hacky-sack skills.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Making the penises kiss.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Media coverage.,,v1.0,v1.1,v1.2,,v1.4,,
Response,Medieval Times® Dinner & Tournament.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Mom.,,v1.0,,,v1.3,v1.4,v1.5,v1.6
Response,Moral ambiguity.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,My machete.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Neil Patrick Harris.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,NOOOOOOOOO!!!,,v1.0,v1.1,v1.2,,v1.4,,
Response,Nubile slave boys.,,v1.0,v1.1,,v1.3,v1.4,v1.5,v1.6
Response,Ominous background music.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,One thousand Slim Jims.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Overpowering your father.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Panty raids.,,v1.0,v1.1,v1.2,v1.3,v1.4,,
Response,Pistol-whipping a hostage.,,v1.0,v1.1,,,,,
Response,Quiche.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Quivering jowls.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,
Response,Revenge fucking.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Ripping into a man's chest and pulling out his still-beating heart.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Ryan Gosling riding in on a white horse.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Salvia.,,v1.0,,v1.2,,,,
Response,Sanding off a man's nose.,,,,,,,v1.5,v1.6
Response,Santa Claus.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Savagely beating a mascot.,,,,,v1.3,v1.4,v1.5,v1.6
Response,Scrotum tickling.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Sexual humiliation.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Sexy Siamese twins.,,v1.0,v1.1,v1.2,v1.3,v1.4,,
Response,Shaft.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Shitting out a screaming face.,,,,,,,,v1.6
Response,Slow motion.,,v1.0,v1.1,,,,,
Response,Space muffins.,,v1.0,v1.1,v1.2,,,,
Response,Statistically validated stereotypes.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Stockholm Syndrome.,,,,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Sudden Poop Explosion Disease.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Suicidal thoughts.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Syphilitic insanity.,,,,v1.2,v1.3,v1.4,v1.5,v1.6
Response,The boners of the elderly.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,The economy.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,The Fanta® girls.,,v1.0,v1.1,,,,,
Response,The four arms of Vishnu.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,The Gulags.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,The harsh light of day.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,The hiccups.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,The ooze.,,,,v1.2,v1.3,v1.4,v1.5,v1.6
Response,The shambling corpse of Larry King.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,The worst pain imaginable. Times two!,,,,,,,,v1.6
Response,This guy!,,v1.0,v1.1,v1.2,,v1.4,,
Response,Tripping balls.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Walking in on Dad peeing into Mom's mouth.,,,,,,,v1.5,v1.6
Response,"Words, words, words.",,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6
Response,Zeus's sexual appetites.,,v1.0,v1.1,v1.2,v1.3,v1.4,v1.5,v1.6